Date,id,ID_1,Rep,Biotreat,Ntreat,NDVI,SAVI,NDRE,Elevation,Yield,Biomass
6/15/2024,507,7,1,Yes,VRN,0.617043808,0.46730464,0.465093842,139.2807448,8431.86,0.86
6/15/2024,508,8,1,Yes,0,0.611619753,0.468260233,0.466430057,139.8109117,5914.3,1.01
6/15/2024,509,9,1,Yes,CFP,0.59932549,0.454757404,0.456300118,140.6203311,9617,0.9
6/15/2024,510,10,1,No,0,0.588255852,0.44701984,0.44280121,140.3854367,6851.75,0.88
6/15/2024,511,11,1,No,VRN,0.632319301,0.483176957,0.482323747,139.3826211,13192.2,1.02
6/15/2024,512,12,1,No,CFP,0.648286273,0.499608755,0.498132514,138.7313145,9760.37,1.31
6/15/2024,525,25,2,Yes,CFP,0.66492113,0.521353611,0.521438782,138.3243276,10782.11,1.17
6/15/2024,526,26,2,Yes,VRN,0.634794414,0.48932904,0.492775938,139.0475507,9690.29,1.16
6/15/2024,527,27,2,Yes,0,0.547401411,0.410441756,0.413352567,140.1786946,5241.59,0.6
6/15/2024,528,28,2,No,VRN,0.570424148,0.423652181,0.424651675,139.8417294,9230.23,0.94
6/15/2024,529,29,2,No,CFP,0.60480537,0.469022095,0.489742669,138.7601279,12784.24,1.22
6/15/2024,530,30,2,No,0,0.670732141,0.515193661,0.520177875,138.061066,8395.89,1.35
6/15/2024,543,43,3,No,CFP,0.692547492,0.539799605,0.538680459,137.7557234,11857.26,0.72
6/15/2024,544,44,3,No,VRN,0.620693982,0.477135375,0.49705899,138.4836356,8170.05,1.25
6/15/2024,545,45,3,No,0,0.558657467,0.412037266,0.409444632,139.8641357,6840.99,0.53
6/15/2024,546,46,3,Yes,CFP,0.561665722,0.405392315,0.411073462,139.6149857,8089.64,0.72
6/15/2024,547,47,3,Yes,0,0.6391536,0.492591545,0.497563175,138.2719199,7370.27,1.26
6/15/2024,548,48,3,Yes,VRN,0.713140913,0.55643137,0.554135855,137.5323679,11648.07,1.65
6/15/2024,561,61,4,Yes,VRN,0.704771195,0.547709686,0.548356111,137.4070955,13169.47,1.33
6/15/2024,562,62,4,Yes,CFP,0.682053596,0.53966704,0.523168747,138.1052379,8692.13,1.18
6/15/2024,563,63,4,Yes,0,0.566529334,0.427750732,0.421962868,139.3315295,3589.65,0.88
6/15/2024,564,64,4,No,0,0.573026955,0.43404583,0.431860548,139.0237331,5413.46,1.07
6/15/2024,565,65,4,No,VRN,0.683389366,0.541273395,0.529351858,138.0771519,10159.26,1.51
6/15/2024,566,66,4,No,CFP,0.718427529,0.553286821,0.554398477,137.3212201,14472.6,1.62
7/3/2024,507,7,1,Yes,VRN,0.859323665,0.809190378,0.717732772,139.2807448,8431.86,4.05
7/3/2024,508,8,1,Yes,0,0.855684272,0.793207475,0.707342769,139.8109117,5914.3,3.2
7/3/2024,509,9,1,Yes,CFP,0.839697635,0.785518837,0.69820044,140.6203311,9617,3.04
7/3/2024,510,10,1,No,0,0.834891359,0.780206134,0.689211855,140.3854367,6851.75,3.53
7/3/2024,511,11,1,No,VRN,0.878742029,0.809418281,0.733697782,139.3826211,13192.2,4
7/3/2024,512,12,1,No,CFP,0.8824039,0.825648914,0.747384975,138.7313145,9760.37,4.38
7/3/2024,525,25,2,Yes,CFP,0.88929935,0.822639721,0.749821927,138.3243276,10782.11,4.06
7/3/2024,526,26,2,Yes,VRN,0.873641357,0.808532432,0.737988532,139.0475507,9690.29,3.7
7/3/2024,527,27,2,Yes,0,0.815836745,0.759809707,0.652612899,140.1786946,5241.59,2.89
7/3/2024,528,28,2,No,VRN,0.829629515,0.774473599,0.681672062,139.8417294,9230.23,3.76
7/3/2024,529,29,2,No,CFP,0.872548978,0.809473932,0.722010652,138.7601279,12784.24,4.36
7/3/2024,530,30,2,No,0,0.87924095,0.817781021,0.738001466,138.061066,8395.89,3.22
7/3/2024,543,43,3,No,CFP,0.892678082,0.829191651,0.751489154,137.7557234,11857.26,5.54
7/3/2024,544,44,3,No,VRN,0.859822094,0.799234778,0.715121448,138.4836356,8170.05,4.02
7/3/2024,545,45,3,No,0,0.810606258,0.747113296,0.643740015,139.8641357,6840.99,3.09
7/3/2024,546,46,3,Yes,CFP,0.81856972,0.758155116,0.656041358,139.6149857,8089.64,3.87
7/3/2024,547,47,3,Yes,0,0.870071709,0.803734392,0.733810663,138.2719199,7370.27,4.71
7/3/2024,548,48,3,Yes,VRN,0.899083342,0.833817397,0.763625818,137.5323679,11648.07,4.7
7/3/2024,561,61,4,Yes,VRN,0.899498131,0.836856689,0.760510547,137.4070955,13169.47,4.06
7/3/2024,562,62,4,Yes,CFP,0.881945938,0.823323578,0.743538916,138.1052379,8692.13,3.93
7/3/2024,563,63,4,Yes,0,0.811933686,0.75726822,0.650736968,139.3315295,3589.65,3.3
7/3/2024,564,64,4,No,0,0.807904252,0.753571383,0.646031056,139.0237331,5413.46,3.69
7/3/2024,565,65,4,No,VRN,0.880841215,0.824506203,0.746306062,138.0771519,10159.26,4.38
7/3/2024,566,66,4,No,CFP,0.891573697,0.833877395,0.759363989,137.3212201,14472.6,4.64
7/17/2024,507,7,1,Yes,VRN,0.859822333,0.803801298,0.719844187,139.2807448,8431.86,
7/17/2024,508,8,1,Yes,0,0.846242939,0.777698968,0.695369042,139.8109117,5914.3,
7/17/2024,509,9,1,Yes,CFP,0.80440948,0.758112717,0.651433336,140.6203311,9617,
7/17/2024,510,10,1,No,0,0.793751935,0.749356419,0.642069783,140.3854367,6851.75,
7/17/2024,511,11,1,No,VRN,0.86981527,0.802265922,0.738543208,139.3826211,13192.2,
7/17/2024,512,12,1,No,CFP,0.877292981,0.812229117,0.749971566,138.7313145,9760.37,
7/17/2024,525,25,2,Yes,CFP,0.876454549,0.811742714,0.753140369,138.3243276,10782.11,
7/17/2024,526,26,2,Yes,VRN,0.867145181,0.811016828,0.742297848,139.0475507,9690.29,
7/17/2024,527,27,2,Yes,0,0.76190842,0.721025901,0.615504746,140.1786946,5241.59,
7/17/2024,528,28,2,No,VRN,0.820997443,0.76592849,0.668530204,139.8417294,9230.23,
7/17/2024,529,29,2,No,CFP,0.864019533,0.809971094,0.75497358,138.7601279,12784.24,
7/17/2024,530,30,2,No,0,0.877372156,0.804966927,0.740124438,138.061066,8395.89,
7/17/2024,543,43,3,No,CFP,0.884466784,0.820226473,0.756848688,137.7557234,11857.26,
7/17/2024,544,44,3,No,VRN,0.853790611,0.800864756,0.740333877,138.4836356,8170.05,
7/17/2024,545,45,3,No,0,0.788713728,0.743648572,0.63498093,139.8641357,6840.99,
7/17/2024,546,46,3,Yes,CFP,0.781778685,0.753826218,0.65496631,139.6149857,8089.64,
7/17/2024,547,47,3,Yes,0,0.861454517,0.790987194,0.721586268,138.2719199,7370.27,
7/17/2024,548,48,3,Yes,VRN,0.891687427,0.827586796,0.769579925,137.5323679,11648.07,
7/17/2024,561,61,4,Yes,VRN,0.888447404,0.818061386,0.764648148,137.4070955,13169.47,
